number,issue_date,department,applies_to,meant_for,subject,path
RBI/DOR/2025-26/118,2025-12-04,DOR,Asset Reconstruction Companies,,"Reserve Bank of India (Asset Reconstruction Companies – Credit Information Reporting) Amendment Directions, 2025",
RBI/DOR/2025-26/117,2025-12-04,DOR,Non-Banking Financial Companies,,"Reserve Bank of India (Non-Banking Financial Companies – Credit Information Reporting) Amendment Directions, 2025",
RBI/DOR/2025-26/115,2025-12-04,DOR,Rural Co-operative Banks,,"Reserve Bank of India (Rural Co-operative Banks – Credit Information Reporting) Amendment Directions, 2025",
RBI/DOR/2025-26/116,2025-12-04,DOR,All India Financial Institutions,,"Reserve Bank of India (All India Financial Institutions – Credit Information Reporting) Amendment Directions, 2025",
RBI/DOR/2025-26/114,2025-12-04,DOR,Urban Co-operative Banks,,"Reserve Bank of India (Urban Co-operative Banks – Credit Information Reporting) Amendment Directions, 2025",
RBI/DOR/2025-26/113,2025-12-04,DOR,Regional Rural Banks,,"Reserve Bank of India (Regional Rural Banks – Credit Information Reporting) Amendment Directions, 2025",
RBI/DOR/2025-26/112,2025-12-04,DOR,Local Area Banks,,"Reserve Bank of India (Local Area Banks – Credit Information Reporting) Amendment Directions, 2025",
RBI/DOR/2025-26/111,2025-12-04,DOR,Small Finance Banks,,"Reserve Bank of India (Small Finance Banks – Credit Information Reporting) Amendment Directions, 2025",
RBI/DOR/2025-26/110,2025-12-04,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks – Credit Information Reporting) Amendment Directions, 2025",
RBI/2025-26/109,2025-12-04,DOR,Rural Co-operative Banks,,"Reserve Bank of India (Rural Co-operative Banks - Responsible Business Conduct) Amendment Directions, 2025",
RBI/2025-26/108,2025-12-04,DOR,Urban Co-operative Banks,,"Reserve Bank of India (Urban Co-operative Banks - Responsible Business Conduct) Amendment Directions, 2025",
RBI/2025-26/107,2025-12-04,DOR,Regional Rural Banks,,"Reserve Bank of India (Regional Rural Banks - Responsible Business Conduct) Amendment Directions, 2025",
RBI/2025-26/106,2025-12-04,DOR,Local Area Banks,,"Reserve Bank of India (Local Area Banks - Responsible Business Conduct) Amendment Directions, 2025",
RBI/2025-26/105,2025-12-04,DOR,Payments Banks,,"Reserve Bank of India (Payments Banks - Responsible Business Conduct) Amendment Directions, 2025",
RBI/2025-26/104,2025-12-04,DOR,Small Finance Banks,,"Reserve Bank of India (Small Finance Banks - Responsible Business Conduct) Amendment Directions, 2025",
RBI/2025-26/103,2025-12-04,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks - Responsible Business Conduct) Amendment Directions, 2025",
RBI/2025-26/102,2025-12-03,AP-DIR,Authorised Persons,All Authorised Persons,Liberalised Remittance Scheme (LRS)- Submission of ‘LRS Daily Return’ by Authorised Dealers- Category -II banks/ entities and Full- Fledged Money Changers,
RBI/2025-26/101,2025-11-28,DPSS,Payment System Operators,All Payment System Providers and Payment System Participants,Compliance with Know Your Customer (KYC) norms,
RBI/2025-26/100,2025-11-28,DOR,,,Consolidation of Regulations – Withdrawal of circulars,
RBI/2025-26/99,2025-11-28,AP-DIR,Authorised Persons,All Authorised Persons,Compliance with Know Your Customer (KYC) norms,
RBI/DOR/2025-26/144,2025-11-28,DOR,Foreign Banks,,"Reserve Bank of India (Setting Up of Wholly Owned Subsidiaries by Foreign Banks) Guidelines, 2025 (Updated as on April 1, 2026)",
RBI/DOR/2025-26/143,2025-11-28,DOR,,,"Reserve Bank of India (Universal Banks- Licensing) Guidelines, 2025",
RBI/DOR/2025-26/145,2025-11-28,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks – Acquisition and Holding of Shares or Voting Rights) Directions, 2025",
RBI/DoR/2025-26/146,2025-11-28,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks - Voluntary Amalgamation) Directions, 2025",
RBI/DOR/2025-26/147,2025-11-28,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks - Branch Authorisation) Directions, 2025",
RBI/DOR/2025-26/380,2025-11-28,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks – Digital Banking Channels Authorisation) Directions, 2025",
RBI/DOR/2025-26/148,2025-11-28,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks – Undertaking of Financial Services) Directions, 2025 (Updated as on July 01, 2026)",
RBI/DOR/2025-26/149,2025-11-28,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks - Governance) Directions, 2025",
RBI/DOR/2025-26/150,2025-11-28,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks – Cash Reserve Ratio and Statutory Liquidity Ratio) Directions, 2025 (Updated as on June 19, 2026)",
RBI/DoR/2025-26/152,2025-11-28,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks - Resource Raising Norms) Directions, 2025",
RBI/DOR/2025-26/151,2025-11-28,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks - Prudential Norms on Capital Adequacy) Directions, 2025 (Updated as on July 01, 2026)",
RBI/FMRD/2024-25/127,2025-02-07,FMRD,,,"Master Direction - Reserve Bank of India (Access Criteria for NDS-OM) Directions, 2025",
RBI/FD/2023-24/1,2024-02-28,FD,,,Enabling Framework for Regulatory Sandbox,
